"Date 
Issued",Project ID,Cooperative/ Aggregate ID,"Project 
Name",Project Developer,Project Owner,Project Type,Protocol Version,ARB Eligible,CORSIA Eligible,Vintage,"Issuance 
Year",Total Offset Credits Issued,Offset Credits Currently in Reserve Buffer Pool,Offset Credits Intended for ARB Buffer Pool,Offset Credits Converted to VCUs,Canceled for ARB Compliance,Canceled,Project Site Location,Project Site State,Project Site Country,Additional Certification(s),Verification Body,Project Website
8/14/13,CAR1003,,DPC Domestic ODS Destruction Project #13,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC",Ozone Depleting Substances - U.S.,Version 1.0,Yes,No,2013,2013,53490,,,,53490,,El Dorado,ARKANSAS,US,,"Ruby Canyon Environmental, Inc.",www.divpc.com
10/23/13,CAR1004,,Finite Carbon - Berry Summit,"Berry Summit, LLC","Berry Summit, LLC",Improved Forest Management,Version 3.2,Yes,No,2013,2013,239205,,,,239205,,Humboldt County,CALIFORNIA,US,,"Environmental Services, Inc.",www.finitecarbon.com
12/17/15,CAR1007,,Maple Leaf Dairy West,"Maple Leaf Dairy, Inc","Maple Leaf Dairy, Inc",Livestock Gas Capture/Combustion,Version 3.0,No,No,2014,2015,14232,,,,14232,,"Cleveland, Manitowoc County",WISCONSIN,US,,"Ruby Canyon Environmental, Inc.",
12/17/15,CAR1007,,Maple Leaf Dairy West,"Maple Leaf Dairy, Inc","Maple Leaf Dairy, Inc",Livestock Gas Capture/Combustion,Version 3.0,No,No,2013,2015,6232,,,,6232,,"Cleveland, Manitowoc County",WISCONSIN,US,,"Ruby Canyon Environmental, Inc.",
6/24/21,CAR1008,,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,"Washington Beef, LLC","Washington Beef, LLC",Organic Waste Digestion,Version 2.0,No,No,2020,2021,19959,,,,,,Yakima County,WASHINGTON,US,,"Ruby Canyon Environmental, Inc.",
7/14/20,CAR1008,,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,"Washington Beef, LLC","Washington Beef, LLC",Organic Waste Digestion,Version 2.0,No,No,2019,2020,18159,,,,,,Yakima County,WASHINGTON,US,,"Ruby Canyon Environmental, Inc.",
7/25/19,CAR1008,,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,"Washington Beef, LLC","Washington Beef, LLC",Organic Waste Digestion,Version 2.0,No,No,2018,2019,14823,,,,,,Yakima County,WASHINGTON,US,,"Ruby Canyon Environmental, Inc.",
8/21/18,CAR1008,,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,"Washington Beef, LLC","Washington Beef, LLC",Organic Waste Digestion,Version 2.0,No,No,2017,2018,11806,,,,,,Yakima County,WASHINGTON,US,,"Ruby Canyon Environmental, Inc.",
7/10/17,CAR1008,,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,"Washington Beef, LLC","Washington Beef, LLC",Organic Waste Digestion,Version 2.0,No,No,2016,2017,16249,,,,,,Yakima County,WASHINGTON,US,,"Ruby Canyon Environmental, Inc.",
4/21/16,CAR1008,,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,"Washington Beef, LLC","Washington Beef, LLC",Organic Waste Digestion,Version 2.0,No,No,2015,2016,18798,,,,,,Yakima County,WASHINGTON,US,,"Agri-Waste Technology, Inc.",
6/25/15,CAR1008,,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,"Washington Beef, LLC","Washington Beef, LLC",Organic Waste Digestion,Version 2.0,No,No,2014,2015,19980,,,,,,Yakima County,WASHINGTON,US,,"Agri-Waste Technology, Inc.",
8/5/14,CAR1008,,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,"Washington Beef, LLC","Washington Beef, LLC",Organic Waste Digestion,Version 2.0,No,No,2013,2014,19515,,,,,,Yakima County,WASHINGTON,US,,"Agri-Waste Technology, Inc.",
12/31/15,CAR1009,,Threemile Canyon Farm Digester Project,"TMF Biofuels, LLC","TMF Biofuels, LLC",Livestock Gas Capture/Combustion,Version 3.0,No,No,2014,2015,67201,,,,,,Morrow County: Near Boardman,OREGON,US,,"First Environment, Inc.",
12/31/15,CAR1009,,Threemile Canyon Farm Digester Project,"TMF Biofuels, LLC","TMF Biofuels, LLC",Livestock Gas Capture/Combustion,Version 3.0,No,No,2013,2015,40580,,,,,,Morrow County: Near Boardman,OREGON,US,,"First Environment, Inc.",
9/16/15,CAR101,,The van Eck Forest,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,Conservation-Based Forest Management,Version 2.1,No,No,2013,2015,23317,,,,23317,,Humboldt County,CALIFORNIA,US,,DNV,
9/16/15,CAR101,,The van Eck Forest,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,Conservation-Based Forest Management,Version 2.1,No,No,2014,2015,26502,,,,26502,,Humboldt County,CALIFORNIA,US,,DNV,
11/5/14,CAR101,,The van Eck Forest,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,Conservation-Based Forest Management,Version 2.1,Yes,No,2006,2014,28090,,,,20604,,Humboldt County,CALIFORNIA,US,,"SGS Environmental Services, Inc.",
11/5/14,CAR101,,The van Eck Forest,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,Conservation-Based Forest Management,Version 2.1,Yes,No,2007,2014,45427,,,,45395,,Humboldt County,CALIFORNIA,US,,"SGS Environmental Services, Inc.",
11/5/14,CAR101,,The van Eck Forest,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,Conservation-Based Forest Management,Version 2.1,Yes,No,2011,2014,37009,,,,37009,,Humboldt County,CALIFORNIA,US,,SCS Global Services,
10/11/14,CAR101,,The van Eck Forest,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,Conservation-Based Forest Management,Version 2.1,Yes,No,2012,2014,35260,,,,25144,10116,Humboldt County,CALIFORNIA,US,,Rainforest Alliance,
12/27/12,CAR101,,The van Eck Forest,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,Conservation-Based Forest Management,Version 2.1,Yes,No,2011,2012,6781,,,,6781,,Humboldt County,CALIFORNIA,US,,SCS Global Services,
8/24/11,CAR101,,The van Eck Forest,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,Conservation-Based Forest Management,Version 2.1,Yes,No,2010,2011,43445,,,,23342,20103,Humboldt County,CALIFORNIA,US,,SCS Global Services,
7/20/10,CAR101,,The van Eck Forest,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,Conservation-Based Forest Management,Version 2.1,Yes,No,2009,2010,71418,,,,50895,20353,Humboldt County,CALIFORNIA,US,,SCS Global Services,
5/19/09,CAR101,,The van Eck Forest,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,Conservation-Based Forest Management,Version 2.1,Yes,No,2008,2009,73546,,,,26957,39837,Humboldt County,CALIFORNIA,US,,SCS Global Services,
12/30/08,CAR101,,The van Eck Forest,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,Conservation-Based Forest Management,Version 2.1,Yes,No,2007,2008,70937,,,,69757,,Humboldt County,CALIFORNIA,US,,"SGS Environmental Services, Inc.",
7/10/08,CAR101,,The van Eck Forest,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,Conservation-Based Forest Management,Version 2.1,Yes,No,2005,2008,29251,,,,,27732,Humboldt County,CALIFORNIA,US,,"SGS Environmental Services, Inc.",
7/10/08,CAR101,,The van Eck Forest,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,Conservation-Based Forest Management,Version 2.1,Yes,No,2006,2008,29251,,,,29251,,Humboldt County,CALIFORNIA,US,,"SGS Environmental Services, Inc.",
8/20/15,CAR1010,,"WTE-Dallmann, LLC","WTE-Dallmann, LLC","WTE-Dallmann, LLC",Livestock Gas Capture/Combustion,Version 3.0,No,No,2014,2015,1310,,,,1310,,"Brillion, Calumet County",WISCONSIN,US,,"First Environment, Inc.",
8/20/15,CAR1010,,"WTE-Dallmann, LLC","WTE-Dallmann, LLC","WTE-Dallmann, LLC",Livestock Gas Capture/Combustion,Version 3.0,No,No,2013,2015,7332,,,,7332,,"Brillion, Calumet County",WISCONSIN,US,,"First Environment, Inc.",
5/22/14,CAR1011,,A-GAS RemTec 2013-1,Reclamation Technologies Inc.,Reclamation Technologies Inc.,Ozone Depleting Substances - U.S. - ARB Compliance,"Compliance Offset Protocol ARB Ozone Depeleting Substances Projects, October 20, 2011",Yes,No,2013,2014,93055,,,,93055,,Bowling Green,OHIO,US,,"Ruby Canyon Environmental, Inc.",www.remtec.net
1/28/14,CAR1012,,DPC Domestic ODS Destruction Project #14,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC",Ozone Depleting Substances - U.S. - ARB Compliance,"Compliance Offset Protocol ARB Ozone Depeleting Substances Projects, October 20, 2011",Yes,No,2013,2014,23276,,,,23276,,El Dorado,ARKANSAS,US,,"Ruby Canyon Environmental, Inc.",www.divpc.com
3/23/21,CAR1013,,Buckeye Forest Project,The Conservation Fund,The Conservation Fund,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Yes,No,2020,2021,131711,,,,131711,,Sonoma County,CALIFORNIA,US,,"S&A Carbon, LLC",
5/1/20,CAR1013,,Buckeye Forest Project,The Conservation Fund,The Conservation Fund,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Yes,No,2019,2020,125545,,,,125545,,Sonoma County,CALIFORNIA,US,,"S&A Carbon, LLC",
4/16/19,CAR1013,,Buckeye Forest Project,The Conservation Fund,The Conservation Fund,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Yes,No,2018,2019,118619,,,,118619,,Sonoma County,CALIFORNIA,US,,"S&A Carbon, LLC",
3/17/18,CAR1013,,Buckeye Forest Project,The Conservation Fund,The Conservation Fund,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Yes,No,2017,2018,71851,,,,71851,,Sonoma County,CALIFORNIA,US,,"S&A Carbon, LLC",
4/12/17,CAR1013,,Buckeye Forest Project,The Conservation Fund,The Conservation Fund,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Yes,No,2016,2017,98559,,,,98559,,Sonoma County,CALIFORNIA,US,,"Environmental Services, Inc.",
6/2/16,CAR1013,,Buckeye Forest Project,The Conservation Fund,The Conservation Fund,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Yes,No,2015,2016,120607,,,,118295,2312,Sonoma County,CALIFORNIA,US,,"Environmental Services, Inc.",
6/8/15,CAR1013,,Buckeye Forest Project,The Conservation Fund,The Conservation Fund,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Yes,No,2014,2015,330236,,,,330236,,Sonoma County,CALIFORNIA,US,,"Environmental Services, Inc.",
2/24/15,CAR1014,,"Storms Hog Power, LLC","Camco International Group, Inc.","Camco International Group, Inc.",Livestock Gas Capture/Combustion,Version 3.0,No,No,2014,2015,13641,,,,13641,,Bladenboro,NORTH CAROLINA,US,,"SES, Inc.",
2/24/15,CAR1014,,"Storms Hog Power, LLC","Camco International Group, Inc.","Camco International Group, Inc.",Livestock Gas Capture/Combustion,Version 3.0,No,No,2013,2015,3698,,,,3698,,Bladenboro,NORTH CAROLINA,US,,"SES, Inc.",
9/16/20,CAR1015,,Rips Redwoods,"Rips Redwoods, LLC","Rips Redwoods, LLC",Improved Forest Management,Version 3.2,No,No,2019,2020,15295,,,,,,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,"GHD Services, Inc.",www.forestdata.com
9/16/20,CAR1015,,Rips Redwoods,"Rips Redwoods, LLC","Rips Redwoods, LLC",Improved Forest Management,Version 3.2,No,No,2018,2020,8113,826,,,,,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,"GHD Services, Inc.",www.forestdata.com
9/16/20,CAR1015,,Rips Redwoods,"Rips Redwoods, LLC","Rips Redwoods, LLC",Improved Forest Management,Version 3.2,No,No,2017,2020,8749,1462,,,,,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,"GHD Services, Inc.",www.forestdata.com
9/16/20,CAR1015,,Rips Redwoods,"Rips Redwoods, LLC","Rips Redwoods, LLC",Improved Forest Management,Version 3.2,No,No,2016,2020,8749,1462,,,,,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,"GHD Services, Inc.",www.forestdata.com
9/16/20,CAR1015,,Rips Redwoods,"Rips Redwoods, LLC","Rips Redwoods, LLC",Improved Forest Management,Version 3.2,No,No,2015,2020,8749,1462,,,,,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,"GHD Services, Inc.",www.forestdata.com
12/14/15,CAR1015,,Rips Redwoods,"Rips Redwoods, LLC","Rips Redwoods, LLC",Improved Forest Management,Version 3.2,No,No,2014,2015,6305,,,,6305,,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,SCS Global Services,www.forestdata.com
10/28/14,CAR1015,,Rips Redwoods,"Rips Redwoods, LLC","Rips Redwoods, LLC",Improved Forest Management,Version 3.2,Yes,No,2013,2014,117441,,,,115972,1469,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,SCS Global Services,www.forestdata.com
1/30/14,CAR1016,,DPC Domestic ODS Destruction Project #15,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC",Ozone Depleting Substances - U.S. - ARB Compliance,"Compliance Offset Protocol ARB Ozone Depeleting Substances Projects, October 20, 2011",Yes,No,2013,2014,46275,,,,46275,,El Dorado,ARKANSAS,US,,"Ruby Canyon Environmental, Inc.",www.divpc.com
2/25/20,CAR1019,,LA PERSEVERANCIA BIOGAS PLANT,Energía Renovable de Cuautla S.A. de C.V.,Energía Renovable de Cuautla S.A. de C.V.,Landfill - MX,Version 1.1,No,No,2019,2020,4394,,,,,,CUAUTLA,MORELOS,MX,,NSF Certification LLC,
2/25/20,CAR1019,,LA PERSEVERANCIA BIOGAS PLANT,Energía Renovable de Cuautla S.A. de C.V.,Energía Renovable de Cuautla S.A. de C.V.,Landfill - MX,Version 1.1,No,No,2018,2020,7772,,,,,,CUAUTLA,MORELOS,MX,,NSF Certification LLC,
12/6/19,CAR1019,,LA PERSEVERANCIA BIOGAS PLANT,Energía Renovable de Cuautla S.A. de C.V.,Energía Renovable de Cuautla S.A. de C.V.,Landfill - MX,Version 1.1,No,No,2018,2019,4495,,,,,,CUAUTLA,MORELOS,MX,,NSF Certification LLC,
12/6/19,CAR1019,,LA PERSEVERANCIA BIOGAS PLANT,Energía Renovable de Cuautla S.A. de C.V.,Energía Renovable de Cuautla S.A. de C.V.,Landfill - MX,Version 1.1,No,No,2017,2019,5105,,,,,,CUAUTLA,MORELOS,MX,,NSF Certification LLC,
7/18/18,CAR1019,,LA PERSEVERANCIA BIOGAS PLANT,Energía Renovable de Cuautla S.A. de C.V.,Energía Renovable de Cuautla S.A. de C.V.,Landfill - MX,Version 1.1,No,No,2017,2018,4271,,,,,,CUAUTLA,MORELOS,MX,,NSF Certification LLC,
7/18/18,CAR1019,,LA PERSEVERANCIA BIOGAS PLANT,Energía Renovable de Cuautla S.A. de C.V.,Energía Renovable de Cuautla S.A. de C.V.,Landfill - MX,Version 1.1,No,No,2016,2018,8230,,,,,,CUAUTLA,MORELOS,MX,,NSF Certification LLC,
5/27/16,CAR102,,Garcia River Forest,The Conservation Fund,The Conservation Fund,Conservation-Based Forest Management,Version 2.1,No,No,2008,2016,10867,,,,10867,,Mendocino County,CALIFORNIA,US,,SCS Global Services,
5/27/16,CAR102,,Garcia River Forest,The Conservation Fund,The Conservation Fund,Conservation-Based Forest Management,Version 2.1,No,No,2007,2016,30766,,,,,,Mendocino County,CALIFORNIA,US,,"SGS Environmental Services, Inc.",
4/10/15,CAR102,,Garcia River Forest,The Conservation Fund,The Conservation Fund,Conservation-Based Forest Management,Version 2.1,No,No,2014,2015,211630,,,,,,Mendocino County,CALIFORNIA,US,,"Environmental Services, Inc.",
4/16/14,CAR102,,Garcia River Forest,The Conservation Fund,The Conservation Fund,Conservation-Based Forest Management,Version 2.1,Yes,No,2013,2014,212359,,,,100,,Mendocino County,CALIFORNIA,US,,SCS Global Services,
4/10/13,CAR102,,Garcia River Forest,The Conservation Fund,The Conservation Fund,Conservation-Based Forest Management,Version 2.1,Yes,No,2012,2013,128411,,,,24200,,Mendocino County,CALIFORNIA,US,,SCS Global Services,
3/14/12,CAR102,,Garcia River Forest,The Conservation Fund,The Conservation Fund,Conservation-Based Forest Management,Version 2.1,Yes,No,2011,2012,35683,,,,25100,,Mendocino County,CALIFORNIA,US,,SCS Global Services,
6/20/11,CAR102,,Garcia River Forest,The Conservation Fund,The Conservation Fund,Conservation-Based Forest Management,Version 2.1,Yes,No,2010,2011,504413,,,,150108,,Mendocino County,CALIFORNIA,US,,SCS Global Services,
4/29/10,CAR102,,Garcia River Forest,The Conservation Fund,The Conservation Fund,Conservation-Based Forest Management,Version 2.1,Yes,No,2009,2010,189898,,,,64220,25880,Mendocino County,CALIFORNIA,US,,SCS Global Services,
5/4/09,CAR102,,Garcia River Forest,The Conservation Fund,The Conservation Fund,Conservation-Based Forest Management,Version 2.1,Yes,No,2008,2009,227947,,,,40978,,Mendocino County,CALIFORNIA,US,,SCS Global Services,
12/24/08,CAR102,,Garcia River Forest,The Conservation Fund,The Conservation Fund,Conservation-Based Forest Management,Version 2.1,Yes,No,2007,2008,143343,,,,,,Mendocino County,CALIFORNIA,US,,"SGS Environmental Services, Inc.",
7/10/08,CAR102,,Garcia River Forest,The Conservation Fund,The Conservation Fund,Conservation-Based Forest Management,Version 2.1,Yes,No,2006,2008,77040,,,,,7876,Mendocino County,CALIFORNIA,US,,"SGS Environmental Services, Inc.",
7/10/08,CAR102,,Garcia River Forest,The Conservation Fund,The Conservation Fund,Conservation-Based Forest Management,Version 2.1,Yes,No,2005,2008,77040,,,,,7877,Mendocino County,CALIFORNIA,US,,"SGS Environmental Services, Inc.",
4/11/14,CAR1021,,EOS ARB ODS 2013-8,EOS Climate Inc.,EOS Climate Inc.,Ozone Depleting Substances - U.S. - ARB Compliance,"Compliance Offset Protocol ARB Ozone Depeleting Substances Projects, October 20, 2011",Yes,No,2014,2014,67490,,,,67490,,El Dorado,ARKANSAS,US,,NSF Certification LLC,www.eosclimate.com
6/25/19,CAR1022,,New Energy One Livestock Project,"3Degrees Group, Inc","3Degrees Group, Inc",Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Yes,No,2018,2019,33297,,,,33297,,"Outside of Twin Falls, Idaho",IDAHO,US,,"Agri-Waste Technology, Inc.",
3/21/18,CAR1022,,New Energy One Livestock Project,"3Degrees Group, Inc","3Degrees Group, Inc",Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Yes,No,2017,2018,39743,,,,39743,,"Outside of Twin Falls, Idaho",IDAHO,US,,"SES, Inc.",
1/13/17,CAR1022,,New Energy One Livestock Project,"3Degrees Group, Inc","3Degrees Group, Inc",Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Yes,No,2016,2017,37836,,,,37836,,"Outside of Twin Falls, Idaho",IDAHO,US,,"Agri-Waste Technology, Inc.",
2/18/16,CAR1022,,New Energy One Livestock Project,"3Degrees Group, Inc","3Degrees Group, Inc",Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Yes,No,2015,2016,41572,,,,41572,,"Outside of Twin Falls, Idaho",IDAHO,US,,"Ruby Canyon Environmental, Inc.",
3/4/15,CAR1022,,New Energy One Livestock Project,"3Degrees Group, Inc","3Degrees Group, Inc",Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, October 20, 2011",Yes,No,2014,2015,30650,,,,30650,,"Outside of Twin Falls, Idaho",IDAHO,US,,"Analytical Environmental Services, Inc.",
5/3/14,CAR1022,,New Energy One Livestock Project,"3Degrees Group, Inc","3Degrees Group, Inc",Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, October 20, 2011",Yes,No,2013,2014,43183,,,,43183,,"Outside of Twin Falls, Idaho",IDAHO,US,,"SES, Inc.",
6/4/14,CAR1023,,Coolgas ODS 2013 Project #1,"COOLGAS, INC.","COOLGAS, INC.",Ozone Depleting Substances - U.S.,Version 1.0,Yes,No,2013,2014,108627,,,,108627,,Bowling Green,OHIO,US,,"First Environment, Inc.",www.coolgas.com
3/28/14,CAR1025,,DPC Domestic ODS Destruction Project #16,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC",Ozone Depleting Substances - U.S. - ARB Compliance,"Compliance Offset Protocol ARB Ozone Depeleting Substances Projects, October 20, 2011",Yes,No,2013,2014,24874,,,,24874,,El Dorado,ARKANSAS,US,,"Ruby Canyon Environmental, Inc.",www.divpc.com
11/20/14,CAR1026,,EOS ARB ODS 2014-2,EOS Climate Inc.,EOS Climate Inc.,Ozone Depleting Substances - U.S. - ARB Compliance,"Compliance Offset Protocol ARB Ozone Depeleting Substances Projects, October 20, 2011",Yes,No,2014,2014,33214,,,,33214,,El Dorado,CALIFORNIA,US,,NSF Certification LLC,www.eosclimate.com
12/24/20,CAR1027,,"Rentech Nitrogen, LLC - Nitric Acid Plant 2","East Dubuque Nitrogen Fertilizers, LLC","East Dubuque Nitrogen Fertilizers, LLC",Nitric Acid N2O- Secondary Catalyst,Version 2.0,No,No,2020,2020,114365,,,,,,"Joe Davies County, East Dubuque, Illinois",ILLINOIS,US,,NSF Certification LLC,
12/24/20,CAR1027,,"Rentech Nitrogen, LLC - Nitric Acid Plant 2","East Dubuque Nitrogen Fertilizers, LLC","East Dubuque Nitrogen Fertilizers, LLC",Nitric Acid N2O- Secondary Catalyst,Version 2.0,No,No,2019,2020,27565,,,,,,"Joe Davies County, East Dubuque, Illinois",ILLINOIS,US,,NSF Certification LLC,
11/19/19,CAR1027,,"Rentech Nitrogen, LLC - Nitric Acid Plant 2","East Dubuque Nitrogen Fertilizers, LLC","East Dubuque Nitrogen Fertilizers, LLC",Nitric Acid N2O- Secondary Catalyst,Version 2.0,No,No,2019,2019,109558,,,,,,"Joe Davies County, East Dubuque, Illinois",ILLINOIS,US,,NSF Certification LLC,
11/19/19,CAR1027,,"Rentech Nitrogen, LLC - Nitric Acid Plant 2","East Dubuque Nitrogen Fertilizers, LLC","East Dubuque Nitrogen Fertilizers, LLC",Nitric Acid N2O- Secondary Catalyst,Version 2.0,No,No,2018,2019,25637,,,,,,"Joe Davies County, East Dubuque, Illinois",ILLINOIS,US,,NSF Certification LLC,
12/21/18,CAR1027,,"Rentech Nitrogen, LLC - Nitric Acid Plant 2","East Dubuque Nitrogen Fertilizers, LLC","East Dubuque Nitrogen Fertilizers, LLC",Nitric Acid N2O- Secondary Catalyst,Version 2.0,No,No,2018,2018,118907,,,,,,"Joe Davies County, East Dubuque, Illinois",ILLINOIS,US,,NSF Certification LLC,
12/21/18,CAR1027,,"Rentech Nitrogen, LLC - Nitric Acid Plant 2","East Dubuque Nitrogen Fertilizers, LLC","East Dubuque Nitrogen Fertilizers, LLC",Nitric Acid N2O- Secondary Catalyst,Version 2.0,No,No,2017,2018,22033,,,,,,"Joe Davies County, East Dubuque, Illinois",ILLINOIS,US,,NSF Certification LLC,
