Project ID,Vintage,Offset Credit Serial Numbers,Quantity of Offset Credits,Status Effective,Project Name,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,Additional Certification(s),CORSIA Eligible,Account Holder,Retirement Reason,Retirement Reason Details,Date Issued,Retirement Year
ACR102,2003,ACR-US-102-2003-274-120155993 to 120155997,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Luke Filose,38656,2012
ACR102,2003,ACR-US-102-2003-274-120155998 to 120156002,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Manya Rubinstein,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156003 to 120156004,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Shelby Hansen,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156005 to 120156006,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Silvana Silvestre,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156007 to 120156008,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Tiago Moraes,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156009 to 120156010,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Veronica Theulen,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156011 to 120156012,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Jessica Harrison,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156013 to 120156032,20,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of John Kadyszewski,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156033 to 120156034,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Kathleen Callaghan,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156035 to 120156036,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Kathy McMillion,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156037 to 120156038,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Lars Battle,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156039 to 120156040,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Lauren Nichols,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156041 to 120156045,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Laurence Casey,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156046 to 120156047,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Lisa Davis,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156048 to 120156049,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Lynne Lindsay,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156050 to 120156054,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Marsha Burkhalter,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156055 to 120156058,4,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Mary Bok-Hee Ortiz,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156059 to 120156078,20,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Mary Grady,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156079 to 120156278,200,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Mary Harris,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156279 to 120156283,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Megan Davenport,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156284 to 120156303,20,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Melinda Pennington,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156304 to 120156313,10,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Mike Myers,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156314 to 120156323,10,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Nona Fisher,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156324 to 120156327,4,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Patrick Perner,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156328 to 120156337,10,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Patty Allison,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156338 to 120156342,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Paul Burman,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156343 to 120156344,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Sharon Rosenberg,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156345 to 120156384,40,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Steve Bylow,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156385 to 120156389,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Sue Jones,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156390 to 120156399,10,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Timothy Holder,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156400 to 120156419,20,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Bronson van Wyck,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156420 to 120156459,40,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Camilla Rockefeller,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156460 to 120156479,20,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Dan H. Felton III,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156480 to 120156579,100,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,"Retirement on behalf of David Rockefeller, Jr.",38656,2012
ACR102,2003,ACR-US-102-2003-274-120156580 to 120156679,100,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Growald Community Fund,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156680 to 120156699,20,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Margaret Dulany,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156700 to 120156704,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Melissa Dann,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156705 to 120156750,46,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Miranda Kaiser,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156751 to 120156790,40,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Neva Goodwin,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156791 to 120156830,40,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Peter O'Neill,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156831 to 120156910,80,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Rebecca Lambert,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156911 to 120156960,50,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Richard Rockefeller,38656,2012
ACR102,2003,ACR-US-102-2003-274-120156961 to 120157000,40,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Wendy O'Neill,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157001 to 120157060,60,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Catherine Borderick,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157061 to 120157065,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of James Tassos,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157066 to 120157070,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Katharine Eady,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157071 to 120157120,50,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Leonard Burman,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157121 to 120157140,20,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Linda Holthaus,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157141 to 120157145,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Marjorie Cook,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157146 to 120157165,20,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Michael Watson,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157166 to 120157175,10,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Sarah Severn,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157176 to 120157180,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Alexandre Grais,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157181 to 120157182,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Angie Dean,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157183 to 120157192,10,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Annett G. Pagan,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157193 to 120157199,7,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Aurelio de Andrade Souza Neto,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157200 to 120157201,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Belinda Adaire,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157202 to 120157203,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Cara Hayes,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157204 to 120157253,50,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Carol Olaughlin,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157254 to 120157263,10,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Carol Stoney,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157264 to 120157267,4,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Carolina Miller,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157268 to 120157272,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Cindy Langston,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157273 to 120157277,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Darlene Middleton,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157278 to 120157282,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of David Kennedy,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157283 to 120157292,10,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of David Norman,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157293 to 120157297,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of David Walden,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157298 to 120157302,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of DeAnn McGrew,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157303 to 120157304,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Denisse Leatxe,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157305 to 120157309,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Erin Hughs,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157310 to 120157311,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Erin Watson,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157312 to 120157331,20,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Fay Ellis,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157332 to 120157351,20,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Franklin Tugwell,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157352 to 120157353,2,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Gelsey Bennett,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157354 to 120157358,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Jason Harrison,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157359 to 120157368,10,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Jennifer Grems,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157369 to 120157373,5,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Marcos Lambert,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157374 to 120157413,40,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Derek Labar,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157414 to 120157423,10,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Jennifer Powell,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157424 to 120157433,10,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,38656,2012
ACR102,2003,ACR-US-102-2003-274-120157434 to 120157443,10,40913,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,38656,2012
