Project ID,Vintage,Offset Credit Serial Numbers,Quantity of Offset Credits,Status Effective,Project Name,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,Additional Certification(s) / SDGs,CORSIA Eligible,Account Holder,Retirement Reason,Retirement Reason Details,Retirement Year,CAR Retirement Data
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5536 to 5536,1,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,CA Assembly Speaker Fabian Nuñez,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-4957 to 5006,50,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5416 to 5425,10,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Ronnie Swartz,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-1111 to 1127,17,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-1128 to 1188,61,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-1189 to 1368,180,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-1369 to 4488,3120,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-4489 to 4881,393,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-4882 to 4956,75,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5399 to 5405,7,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,for Linda Adams,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5406 to 5415,10,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Daniel Faulk,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5426 to 5430,5,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,"Becky, Robert, William, and LaVerne Whitehead",2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5431 to 5490,60,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,"A + M Abramowitz, Dr. W Killmann, D + A Tuttle",2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5491 to 5500,10,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Lori and Peter Look,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5501 to 5510,10,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Jim Roush and Cynthia Wayburn,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5511 to 5515,5,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Ron Duke,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5517 to 5535,19,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Friends of CA Climate Registry,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5537 to 5588,52,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,The Honorable Speaker Nancy Pelosi,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5589 to 5592,4,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Joan Irwin and Peter Davis,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5593 to 6562,970,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,"Oak Productions, Inc.",2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-6563 to 6799,237,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,The Members of the California State Assembly (2007,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-6800 to 6812,13,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,The Honorable Speaker Fabian Nuñez,2014,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-6813 to 8036,1224,11/5/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,Compliance Requirements,"Belvedere Property Management, LLC",2014,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-4282 to 4396,115,11/4/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,Retirement for Person or Organization,,2014,
CAR101,2007,CAR-1-US-101-1-101-CA-2007-202-30181 to 31180,1000,5/21/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"The Eco Products Fund, L.P.",On Behalf of Third Party,CH2M Hill,2014,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-25395 to 25399,5,4/30/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Green Mountain Energy,Environmental Benefit,RY2013– C3 - Lolla Event Offset,2014,
CAR101,2007,CAR-1-US-101-1-101-CA-2007-202-30096 to 30100,5,4/30/14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Green Mountain Energy,Environmental Benefit,RY2013– C3 - Lolla Event Offset,2014,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-36700 to 36725,26,12/10/13,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,California Environmental Associates,2013,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-5001 to 6000,1000,3/29/12,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"The Eco Products Fund, L.P.",On Behalf of Third Party,On Behalf of CH2M Hill,2012,
CAR101,2009,CAR-1-US-101-1-101-CA-2009-311-55001 to 55170,170,2/24/12,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Climate Action Reserve Blind Trust,On Behalf of Third Party,2010 Governors Global Climate Change Summit,2012,
CAR101,2007,CAR-1-US-101-1-101-CA-2007-202-30101 to 30180,80,1/6/12,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,Environmental Benefit,2011 U.S. Capitol Christmas Tree Project,2012,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-25300 to 25394,95,7/7/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Green Mountain Energy,On Behalf of Third Party,2010 Retirements,2011,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-25400 to 25699,300,5/31/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"BGC Environmental Brokerage Services, L.P.",Environmental Benefit,,2011,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-2901 to 5000,2100,2/10/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"The Eco Products Fund, L.P.",On Behalf of Third Party,CH2M Hill,2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6253 to 6258,6,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Big Bend Coffee Roasters 2008,2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6327 to 6328,2,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,"Cypton, Inc. (InCase) 2008",2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6329 to 6338,10,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,"Cypton, Inc. (InCase) 2009",2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6339 to 6340,2,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Dan Vermeer 2008,2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6341 to 6349,9,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,"Hycrete, Inc.",2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6350 to 6373,24,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Jims Organic Coffee 2008,2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6374 to 6427,54,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,"Scout Real Estate Capital, LLC 2008",2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6428 to 6431,4,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Terrapin Bright Green 2008,2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6432 to 6460,29,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Terrapin Bright Green 2008,2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6461 to 6461,1,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Va. Sustainable Building Network 2008,2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6259 to 6283,25,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,"Crypton, Inc. 2008",2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6284 to 6326,43,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,"Crypton, Inc. 2008",2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6462 to 6462,1,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Virginia Tech 2008,2011,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6463 to 6552,90,2/8/11,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,ACORE 2008,2011,
CAR101,2007,CAR-1-US-101-1-101-CA-2007-202-30001 to 30095,95,9/7/10,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Green Mountain Energy,Environmental Benefit,San Diego Padres,2010,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-25265 to 25299,35,6/14/10,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Ecovine Solutions purchase,2010,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-25065 to 25264,200,3/3/10,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"BGC Environmental Brokerage Services, L.P.",Environmental Benefit,,2010,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-601 to 2900,2300,2/17/10,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"The Eco Products Fund, L.P.",On Behalf of Third Party,On Behalf of CH2MHill,2010,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-1 to 600,600,2/17/10,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"The Eco Products Fund, L.P.",On Behalf of Third Party,,2010,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-4397 to 4926,530,9/24/09,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,Retirement for Person or Organization,,2009,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-4927 to 4992,66,9/24/09,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,Retirement for Person or Organization,,2009,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-4993 to 5000,8,9/24/09,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,Retirement for Person or Organization,,2009,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-25001 to 25064,64,5/27/09,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"BGC Environmental Brokerage Services, L.P.",Retirement for Person or Organization,,2009,
CAR1015,2017,CAR-1-US-1015-25-830-CA-2017-6173-2419 to 7287,4869,5/26/21,Rips Redwoods,Improved Forest Management,Version 3.2,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,No,Pachama Inc.,On Behalf of Third Party,"On behalf of Netflix, 2433",2021,
CAR1015,2016,CAR-1-US-1015-25-830-CA-2016-6175-1 to 7287,7287,5/26/21,Rips Redwoods,Improved Forest Management,Version 3.2,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,No,Pachama Inc.,On Behalf of Third Party,"On behalf of Netflix, 2432",2021,
CAR1015,2015,CAR-1-US-1015-25-830-CA-2015-6177-1001 to 7287,6287,5/26/21,Rips Redwoods,Improved Forest Management,Version 3.2,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,No,Pachama Inc.,On Behalf of Third Party,"On behalf of Netflix, 2431",2021,
CAR1015,2015,CAR-1-US-1015-25-830-CA-2015-6177-451 to 950,500,5/26/21,Rips Redwoods,Improved Forest Management,Version 3.2,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,No,Pachama Inc.,On Behalf of Third Party,"On behalf of Netflix, 2431",2021,
CAR1015,2015,CAR-1-US-1015-25-830-CA-2015-6177-1 to 450,450,11/30/20,Rips Redwoods,Improved Forest Management,Version 3.2,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,No,Pachama Inc.,On Behalf of Third Party,Sarah Barton,2020,
CAR1019,2018,CAR-1-MX-1019-43-811-MR-2018-5894-1 to 2570,2570,6/19/21,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,"Lightstone Consulting, LLC",Environmental Benefit,Retired on behalf of PCC Community Markets by Evergreen Carbon,2021,
CAR1019,2019,CAR-1-MX-1019-43-811-MR-2019-5978-1 to 4394,4394,4/16/21,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,ACT Commodities Inc.,On Behalf of Third Party,OBO Spark Energy customers in Illinois for RY20,2021,
CAR1019,2018,CAR-1-MX-1019-43-811-MR-2018-5894-2571 to 3228,658,4/16/21,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,ACT Commodities Inc.,On Behalf of Third Party,OBO Spark Energy customers in Illinois for RY20,2021,
CAR1019,2018,CAR-1-MX-1019-43-811-MR-2018-5894-3229 to 4495,1267,4/16/21,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,ACT Commodities Inc.,On Behalf of Third Party,OBO Spark Energy customers in Illinois for RY20,2021,
CAR1019,2018,CAR-1-MX-1019-43-811-MR-2018-5979-1268 to 7772,6505,4/16/21,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,ACT Commodities Inc.,On Behalf of Third Party,OBO Spark Energy customers in Illinois for RY20,2021,
CAR1019,2016,CAR-1-MX-1019-43-811-MR-2016-5505-1 to 100,100,1/11/21,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,ClimeCo LLC,Retirement for Person or Organization,Evergreen Carbon for Carbon Credit Cart Purchases,2021,
CAR1019,2016,CAR-1-MX-1019-43-811-MR-2016-5505-2001 to 3346,1346,7/15/20,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,ACT Commodities Inc.,On Behalf of Third Party,on behalf of Takeda Pharmaceutical Company,2020,
CAR102,2006,CAR-1-US-102-1-102-CA-2006-104-34013 to 34775,763,11/23/21,Garcia River Forest,Conservation-Based Forest Management,Version 2.1,Mendocino County,CALIFORNIA,US,,No,"South Pole USA, Inc.",Environmental Benefit,Retired on behalf of Flight Centre Travel Group to offset their corporate travel emissions CY 2019-20,2021,
CAR102,2006,CAR-1-US-102-1-102-CA-2006-104-11940 to 11944,5,11/1/21,Garcia River Forest,Conservation-Based Forest Management,Version 2.1,Mendocino County,CALIFORNIA,US,,No,Green Story Inc,Other,"Retired on behalf of Green Story Inc's and SimpliZero Clients to offset the carbon footprint of their products sales, employee and lifestyle footprint for October 2021",2021,
CAR102,2007,CAR-1-US-102-1-102-CA-2007-201-50599 to 50640,42,10/29/21,Garcia River Forest,Conservation-Based Forest Management,Version 2.1,Mendocino County,CALIFORNIA,US,,No,"3Degrees Group, Inc",Other,3Degrees 2020 GHG Footprint,2021,
CAR102,2006,CAR-1-US-102-1-102-CA-2006-104-11937 to 11939,3,10/6/21,Garcia River Forest,Conservation-Based Forest Management,Version 2.1,Mendocino County,CALIFORNIA,US,,No,Green Story Inc,Other,"Retired on behalf of Green Story Inc's and SimpliZero Clients to offset the carbon footprint of their products sales, employee and lifestyle footprint for September 2021",2021,
CAR102,2005,CAR-1-US-102-1-102-CA-2005-103-58936 to 59268,333,9/8/21,Garcia River Forest,Conservation-Based Forest Management,Version 2.1,Mendocino County,CALIFORNIA,US,,No,The Conservation Fund,On Behalf of Third Party,retired on behalf of MaCher,2021,
CAR102,2006,CAR-1-US-102-1-102-CA-2006-104-11928 to 11936,9,9/1/21,Garcia River Forest,Conservation-Based Forest Management,Version 2.1,Mendocino County,CALIFORNIA,US,,No,Green Story Inc,Other,"Retired on behalf of Green Story Inc's and SimpliZero Clients to offset the carbon footprint of their products sales, employee and lifestyle footprint for August 2021",2021,
