Date Issued,Project ID,Project Name,Project Developer,Project Type,Protocol Version,ARB Eligible,CORSIA Qualified,Vintage,"Issuance 
Year",Total Credits Issued,Credits Issued to Project,Credits Issued to Buffer Pool,Project Site Location,Project Site State,Project Site Country,Additional Certification(s),Verifier,Project Website
3/31/11,ACR109,Chesapeake Mizer Pneumatic Retrofit,Chesapeake Energy,Industrial Process Emissions,Version 1.0,No,No,2010,2011,82143,82143,0,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",OKLAHOMA,US,"Affordable and Clean Energy;Industry, Innovation and Infrastructure;Climate Action","Det Norske Veritas (U.S.A.), Inc.",
3/31/11,ACR109,Chesapeake Mizer Pneumatic Retrofit,Chesapeake Energy,Industrial Process Emissions,Version 1.0,No,No,2009,2011,109153,109153,0,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",OKLAHOMA,US,"Affordable and Clean Energy;Industry, Innovation and Infrastructure;Climate Action","Det Norske Veritas (U.S.A.), Inc.",
3/31/11,ACR109,Chesapeake Mizer Pneumatic Retrofit,Chesapeake Energy,Industrial Process Emissions,Version 1.0,No,No,2008,2011,39727,39727,0,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",OKLAHOMA,US,"Affordable and Clean Energy;Industry, Innovation and Infrastructure;Climate Action","Det Norske Veritas (U.S.A.), Inc.",
8/30/07,ACR110,Chicago LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,18630,18630,0,Chicago,ILLINOIS,US,,ERT,
8/30/07,ACR110,Chicago LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,43632,43632,0,Chicago,ILLINOIS,US,,ERT,
11/2/10,ACR111,Devon Mizer Pneumatic Retrofit,Devon Energy Group,Industrial Process Emissions,Version 1.0,No,No,2010,2010,5724,5724,0,"Oklahoma, Texas, Wyoming",OKLAHOMA,US,"Affordable and Clean Energy;Industry, Innovation and Infrastructure;Climate Action","Det Norske Veritas (U.S.A.), Inc.",
8/30/07,ACR112,Dolton LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,54567,54567,0,Dolton,ILLINOIS,US,,ERT,
8/30/07,ACR112,Dolton LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,104769,104769,0,Dolton,ILLINOIS,US,,ERT,
2/23/09,ACR113,Greater New Bedford LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2008,2009,64200,64200,0,Dartmouth,MASSACHUSETTS,US,,"First Environment, Inc.",
9/3/08,ACR113,Greater New Bedford LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2008,2008,58379,58379,0,Dartmouth,MASSACHUSETTS,US,,"First Environment, Inc.",
4/22/08,ACR113,Greater New Bedford LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2008,66021,66021,0,Dartmouth,MASSACHUSETTS,US,,"First Environment, Inc.",
12/20/07,ACR113,Greater New Bedford LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2005,2007,83037,83037,0,Dartmouth,MASSACHUSETTS,US,,"First Environment, Inc.",
12/20/07,ACR113,Greater New Bedford LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2004,2007,113158,113158,0,Dartmouth,MASSACHUSETTS,US,,"First Environment, Inc.",
12/20/07,ACR113,Greater New Bedford LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2003,2007,117945,117945,0,Dartmouth,MASSACHUSETTS,US,,"First Environment, Inc.",
10/18/07,ACR113,Greater New Bedford LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,61157,61157,0,Dartmouth,MASSACHUSETTS,US,,"First Environment, Inc.",
6/28/07,ACR113,Greater New Bedford LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,119996,119996,0,Dartmouth,MASSACHUSETTS,US,,"First Environment, Inc.",
1/6/06,ACR113,Greater New Bedford LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2005,2006,29269,29269,0,Dartmouth,MASSACHUSETTS,US,,ERT,
8/11/21,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2020,2021,673280,673280,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,,www.green-trees.com
8/11/21,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2020,2021,505884,505884,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,Ruby Canyon Environment,www.green-trees.com
7/31/20,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2019,2020,1354928,1354928,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,,www.green-trees.com
7/31/20,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,Yes,2019,2020,9257,7719,1538,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,Ruby Canyon Environment,www.green-trees.com
7/31/20,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2018,2020,302280,302280,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,,www.green-trees.com
7/31/20,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,Yes,2018,2020,6270,5228,1042,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,,www.green-trees.com
6/22/18,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2017,2018,620786,620786,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,,www.green-trees.com
6/22/18,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2017,2018,487104,487104,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,Ruby Canyon Environment,www.green-trees.com
6/22/18,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2016,2018,165976,165976,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,,www.green-trees.com
5/31/17,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2015,2017,1054928,1054928,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,"Environmental Services, Inc.",www.green-trees.com
8/7/15,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2014,2015,182626,182626,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,"Environmental Services, Inc.",www.green-trees.com
5/1/15,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2013,2015,477297,477297,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,"Environmental Services, Inc.",www.green-trees.com
4/17/14,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2012,2014,115125,115125,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,"Environmental Services, Inc.",www.green-trees.com
10/28/13,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2012,2013,157156,157156,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,"Environmental Services, Inc.",www.green-trees.com
10/28/13,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2012,2013,40524,40524,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,,www.green-trees.com
7/24/13,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2012,2013,56816,56816,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,"Environmental Services, Inc.",www.green-trees.com
11/2/12,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2011,2012,16608,16608,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,"Environmental Services, Inc.",www.green-trees.com
12/22/11,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2010,2011,42898,42898,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,"Environmental Services, Inc.",www.green-trees.com
6/29/10,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),C2I LLC,Forest Carbon,Version 1.0,No,No,2009,2010,1007,1007,0,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,"Environmental Services, Inc.",www.green-trees.com
8/22/12,ACR115,Lower Mississippi Valley Reforestation,"Entergy Services, Inc",Forest Carbon,Version 5.2.0,No,No,2011,2012,14934,13422,1512,"National Wildlife Refuges, Managed by USFWS in the Lower Mississippi Valley",LOUISIANA,US,Clean Water and Sanitation;Climate Action;Life on Land,"Environmental Services, Inc.",
12/3/08,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2008,2008,370975,370975,0,LaBarge,WYOMING,US,,Ruby Canyon Environment,
12/3/08,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2007,2008,817249,817249,0,LaBarge,WYOMING,US,,Ruby Canyon Environment,
12/3/08,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2008,874554,874554,0,LaBarge,WYOMING,US,,Ruby Canyon Environment,
12/3/08,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2005,2008,796699,796699,0,LaBarge,WYOMING,US,,Ruby Canyon Environment,
12/3/08,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2004,2008,165151,165151,0,LaBarge,WYOMING,US,,Ruby Canyon Environment,
3/13/06,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2004,2006,799073,799073,0,LaBarge,WYOMING,US,,URS,
3/13/06,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2003,2006,1038287,1038287,0,LaBarge,WYOMING,US,,URS,
3/13/06,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2002,2006,736816,736816,0,LaBarge,WYOMING,US,,URS,
3/13/06,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2001,2006,718342,718342,0,LaBarge,WYOMING,US,,URS,
3/13/06,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2000,2006,991518,991518,0,LaBarge,WYOMING,US,,URS,
9/1/09,ACR118,Monell Geo-Seq,Anadarko,Carbon Capture & Storage (CCS),Version 1.0,No,No,2005,2009,415078,415078,0,Sweetwater County,WYOMING,US,,ICF International,
9/1/09,ACR118,Monell Geo-Seq,Anadarko,Carbon Capture & Storage (CCS),Version 1.0,No,No,2004,2009,259387,259387,0,Sweetwater County,WYOMING,US,,ICF International,
3/26/09,ACR118,Monell Geo-Seq,Anadarko,Carbon Capture & Storage (CCS),Version 1.0,No,No,2008,2009,368322,368322,0,Sweetwater County,WYOMING,US,,ICF International,
3/28/08,ACR118,Monell Geo-Seq,Anadarko,Carbon Capture & Storage (CCS),Version 1.0,No,No,2007,2008,340713,340713,0,Sweetwater County,WYOMING,US,,ICF International,
3/28/07,ACR118,Monell Geo-Seq,Anadarko,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2007,364909,364909,0,Sweetwater County,WYOMING,US,,ICF International,
11/16/11,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2011,2011,40121,40121,0,Bethlehem,NEW HAMPSHIRE,US,,"First Environment, Inc.",
3/24/11,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2010,2011,69825,69825,0,Bethlehem,NEW HAMPSHIRE,US,,"First Environment, Inc.",
10/31/10,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2010,2010,59098,59098,0,Bethlehem,NEW HAMPSHIRE,US,,"First Environment, Inc.",
7/1/10,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2009,2010,56146,56146,0,Bethlehem,NEW HAMPSHIRE,US,,"First Environment, Inc.",
8/20/09,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2009,2009,52447,52447,0,Bethlehem,NEW HAMPSHIRE,US,,"First Environment, Inc.",
2/26/09,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2008,2009,61202,61202,0,Bethlehem,NEW HAMPSHIRE,US,,"First Environment, Inc.",
7/22/08,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2008,2008,61202,61202,0,Bethlehem,NEW HAMPSHIRE,US,,"First Environment, Inc.",
4/22/08,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2008,72680,72680,0,Bethlehem,NEW HAMPSHIRE,US,,"First Environment, Inc.",
10/18/07,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,83395,83395,0,Bethlehem,NEW HAMPSHIRE,US,,"First Environment, Inc.",
6/29/07,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,172771,172771,0,Bethlehem,NEW HAMPSHIRE,US,,"First Environment, Inc.",
1/6/06,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2005,2006,147174,147174,0,Bethlehem,NEW HAMPSHIRE,US,,ERT,
1/6/06,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,1998,2006,48826,48826,0,Bethlehem,NEW HAMPSHIRE,US,,ERT,
12/21/05,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2004,2005,131433,131433,0,Bethlehem,NEW HAMPSHIRE,US,,ERT,
12/21/05,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2003,2005,121401,121401,0,Bethlehem,NEW HAMPSHIRE,US,,ERT,
12/21/05,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2002,2005,110796,110796,0,Bethlehem,NEW HAMPSHIRE,US,,ERT,
12/21/05,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2001,2005,114478,114478,0,Bethlehem,NEW HAMPSHIRE,US,,ERT,
12/21/05,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2000,2005,114507,114507,0,Bethlehem,NEW HAMPSHIRE,US,,ERT,
12/21/05,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,1999,2005,74895,74895,0,Bethlehem,NEW HAMPSHIRE,US,,ERT,
8/6/08,ACR120,Petrosource Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2007,2008,653281,653281,0,Crocket County,TEXAS,US,,Ruby Canyon Environment,
8/6/08,ACR120,Petrosource Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2008,350901,350901,0,Crocket County,TEXAS,US,,Ruby Canyon Environment,
1/30/07,ACR120,Petrosource Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2007,84000,84000,0,Crocket County,TEXAS,US,,Battelle,
1/30/07,ACR120,Petrosource Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2007,88631,88631,0,Crocket County,TEXAS,US,,Battelle,
1/30/07,ACR120,Petrosource Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2005,2007,719748,719748,0,Crocket County,TEXAS,US,,Battelle,
1/30/07,ACR120,Petrosource Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2004,2007,331,331,0,Crocket County,TEXAS,US,,Battelle,
3/13/06,ACR120,Petrosource Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2003,2006,284527,284527,0,Crocket County,TEXAS,US,,URS,
12/31/08,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2008,2008,509831,509831,0,Pecos County,TEXAS,US,,Ruby Canyon Environment,
12/31/08,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2007,2008,125506,125506,0,Pecos County,TEXAS,US,,Ruby Canyon Environment,
12/31/07,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2007,2007,378633,378633,0,Pecos County,TEXAS,US,,Ruby Canyon Environment,
12/31/07,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2007,193302,193302,0,Pecos County,TEXAS,US,,Ruby Canyon Environment,
1/30/07,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2007,290791,290791,0,Pecos County,TEXAS,US,,Battelle,
1/30/07,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2007,297904,297904,0,Pecos County,TEXAS,US,,Battelle,
1/30/07,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2005,2007,587212,587212,0,Pecos County,TEXAS,US,,Battelle,
1/30/07,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2004,2007,67053,67053,0,Pecos County,TEXAS,US,,Battelle,
1/30/07,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2004,2007,416283,416283,0,Pecos County,TEXAS,US,,Battelle,
8/30/07,ACR122,Romeoville LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,17005,17005,0,Romeoville,ILLINOIS,US,,ERT,
8/30/07,ACR122,Romeoville LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,35491,35491,0,Romeoville,ILLINOIS,US,,ERT,
9/1/09,ACR123,Salt Creek Geo-Seq,Anadarko,Carbon Capture & Storage (CCS),Version 1.0,No,No,2005,2009,1610328,1610328,0,"Salt Creek Field, Natrona Co.",WYOMING,US,,ICF International,
9/1/09,ACR123,Salt Creek Geo-Seq,Anadarko,Carbon Capture & Storage (CCS),Version 1.0,No,No,2004,2009,1032153,1032153,0,"Salt Creek Field, Natrona Co.",WYOMING,US,,ICF International,
3/26/09,ACR123,Salt Creek Geo-Seq,Anadarko,Carbon Capture & Storage (CCS),Version 1.0,No,No,2008,2009,2239248,2239248,0,"Salt Creek Field, Natrona Co.",WYOMING,US,,ICF International,
3/28/08,ACR123,Salt Creek Geo-Seq,Anadarko,Carbon Capture & Storage (CCS),Version 1.0,No,No,2007,2008,2057000,2057000,0,"Salt Creek Field, Natrona Co.",WYOMING,US,,ICF International,
3/29/07,ACR123,Salt Creek Geo-Seq,Anadarko,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2007,736344,736344,0,"Salt Creek Field, Natrona Co.",WYOMING,US,,ICF International,
5/8/09,ACR124,Schneider Anti-Idling,Blue Source,Transport / Fleet Efficiency,Version 1.0,No,No,2008,2009,17241,17241,0,,WISCONSIN,US,,Ruby Canyon Environment,
5/8/09,ACR124,Schneider Anti-Idling,Blue Source,Transport / Fleet Efficiency,Version 1.0,No,No,2007,2009,13836,13836,0,,WISCONSIN,US,,Ruby Canyon Environment,
5/8/09,ACR124,Schneider Anti-Idling,Blue Source,Transport / Fleet Efficiency,Version 1.0,No,No,2006,2009,11839,11839,0,,WISCONSIN,US,,Ruby Canyon Environment,
7/23/08,ACR125,SEESA Solar Electrification,E+Co,Renewable Energy,Version 1.0,No,No,2007,2008,94,94,0,El Salvador,,SV,,ERT,
