Project ID,Vintage,Offset Credit Serial Numbers,Quantity of Offset Credits,Status Effective,Project Name,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,Additional Certification(s) / SDGs,ARB Eligible,Account Holder,Retirement Reason,Retirement Reason Details,Date Issued,Retirement Year
ACR102,2003,ACR-US-102-2003-274-120157896 to 120157918,23,3/21/15,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-02,10/31/05,2015
ACR102,2003,ACR-US-102-2003-274-120157890 to 120157895,6,3/21/15,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-01,10/31/05,2015
ACR102,2003,ACR-US-102-2003-274-120157882 to 120157889,8,2/3/15,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2014-12,10/31/05,2015
ACR102,2003,ACR-US-102-2003-274-120157865 to 120157881,17,12/18/14,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2014-11,10/31/05,2014
ACR102,2003,ACR-US-102-2003-274-120157857 to 120157864,8,11/13/14,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2014-10,10/31/05,2014
ACR102,2005,ACR-US-102-2005-277-197115601 to 197125600,10000,7/28/14,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,The Climate Trust,Retail Program Requirements,Donate to Offset program,8/2/06,2014
ACR102,2003,ACR-US-102-2003-275-194110606 to 194110987,382,1/14/13,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,"Carbon Capital Advisors, LLC",Environmental Benefit,To Offset the Carbon Footprint of the 2013 Environment and Clean Energy Inaugural Ball,8/2/06,2013
ACR102,2003,ACR-US-102-2003-274-120157839 to 120157856,18,1/14/13,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,"Carbon Capital Advisors, LLC",Environmental Benefit,To Offset the Carbon Footprint of the 2013 Environment and Clean Energy Inaugural Ball,10/31/05,2013
ACR102,2003,ACR-US-102-2003-274-120157549 to 120157838,290,3/9/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Nike+AMP Pilot Program,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155873 to 120155874,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Alexander Schaefer,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155920 to 120155924,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155875 to 120155894,20,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155895 to 120155899,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155900 to 120155919,20,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155925 to 120155939,15,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155940 to 120155941,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155942 to 120155961,20,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Barbara H. North,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155962 to 120155965,4,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of George Philippidis,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155966 to 120155970,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Janan Apaydin,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155971 to 120155975,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Joseph Pancer,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155976 to 120155980,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Kate deRiel,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155981 to 120155985,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Katherine Wires,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155986 to 120155990,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Kathleen Stewart,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155991 to 120155992,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Lucas Baigorria,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155993 to 120155997,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Luke Filose,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120155998 to 120156002,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Manya Rubinstein,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156003 to 120156004,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Shelby Hansen,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156005 to 120156006,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Silvana Silvestre,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156007 to 120156008,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Tiago Moraes,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156009 to 120156010,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Veronica Theulen,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156011 to 120156012,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Jessica Harrison,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156013 to 120156032,20,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of John Kadyszewski,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156033 to 120156034,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Kathleen Callaghan,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156035 to 120156036,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Kathy McMillion,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156037 to 120156038,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Lars Battle,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156039 to 120156040,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Lauren Nichols,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156041 to 120156045,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Laurence Casey,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156046 to 120156047,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Lisa Davis,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156048 to 120156049,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Lynne Lindsay,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156050 to 120156054,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Marsha Burkhalter,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156055 to 120156058,4,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Mary Bok-Hee Ortiz,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156059 to 120156078,20,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Mary Grady,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156079 to 120156278,200,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Mary Harris,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156279 to 120156283,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Megan Davenport,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156284 to 120156303,20,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Melinda Pennington,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156304 to 120156313,10,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Mike Myers,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156314 to 120156323,10,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Nona Fisher,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156324 to 120156327,4,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Patrick Perner,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156328 to 120156337,10,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Patty Allison,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156338 to 120156342,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Paul Burman,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156343 to 120156344,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Sharon Rosenberg,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156345 to 120156384,40,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Steve Bylow,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156385 to 120156389,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Sue Jones,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156390 to 120156399,10,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Timothy Holder,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156400 to 120156419,20,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Bronson van Wyck,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156420 to 120156459,40,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Camilla Rockefeller,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156460 to 120156479,20,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Dan H. Felton III,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156480 to 120156579,100,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,"Retirement on behalf of David Rockefeller, Jr.",10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156580 to 120156679,100,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Growald Community Fund,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156680 to 120156699,20,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Margaret Dulany,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156700 to 120156704,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Melissa Dann,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156705 to 120156750,46,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Miranda Kaiser,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156751 to 120156790,40,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Neva Goodwin,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156791 to 120156830,40,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Peter O'Neill,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156831 to 120156910,80,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Rebecca Lambert,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156911 to 120156960,50,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Richard Rockefeller,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120156961 to 120157000,40,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Wendy O'Neill,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157001 to 120157060,60,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Catherine Borderick,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157061 to 120157065,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of James Tassos,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157066 to 120157070,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Katharine Eady,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157071 to 120157120,50,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Leonard Burman,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157121 to 120157140,20,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Linda Holthaus,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157141 to 120157145,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Marjorie Cook,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157146 to 120157165,20,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Michael Watson,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157166 to 120157175,10,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Sarah Severn,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157176 to 120157180,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Alexandre Grais,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157181 to 120157182,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Angie Dean,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157183 to 120157192,10,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Annett G. Pagan,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157193 to 120157199,7,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Aurelio de Andrade Souza Neto,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157200 to 120157201,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Belinda Adaire,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157202 to 120157203,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Cara Hayes,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157204 to 120157253,50,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Carol Olaughlin,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157254 to 120157263,10,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Carol Stoney,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157264 to 120157267,4,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Carolina Miller,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157268 to 120157272,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Cindy Langston,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157273 to 120157277,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Darlene Middleton,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157278 to 120157282,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of David Kennedy,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157283 to 120157292,10,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of David Norman,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157293 to 120157297,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of David Walden,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157298 to 120157302,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of DeAnn McGrew,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157303 to 120157304,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Denisse Leatxe,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157305 to 120157309,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Erin Hughs,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157310 to 120157311,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Erin Watson,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157312 to 120157331,20,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Fay Ellis,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157332 to 120157351,20,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Franklin Tugwell,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157352 to 120157353,2,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Gelsey Bennett,10/31/05,2012
ACR102,2003,ACR-US-102-2003-274-120157354 to 120157358,5,1/5/12,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Jason Harrison,10/31/05,2012
